NUMERO_CLIENTE,Recency,Frequency,Monetary
11585,31,4,1902.45
11591,51,1,2947.83
11603,31,2,2798.42
11610,31,11,1839.70
11628,81,1,882.21
11635,34,1,882.48
11710,34,3,6474.66
11758,63,1,163.35
11762,39,1,547.94
11774,45,1,299.15
11852,60,1,139.7
11871,31,1,131.85
11873,74,1,261.35
11915,81,1,111.29
11930,34,3,47520.00
11940,38,2,2691.64
11943,62,1,3648.80
11970,31,2,669.57
11978,35,4,1115.46
11985,33,1,369
12032,60,1,2530.14
12036,44,6,1891.80
12050,72,1,285.43
12098,58,3,1453.93
12203,41,5,2223.99
12272,38,3,823.8
12297,30,5,1162.67
12321,70,3,2056.12
12385,69,5,9915.57
12405,33,7,43672.05
12564,30,1,93.69
12577,58,1,145.8
12649,39,2,1327.19
12662,74,1,316.9
12669,33,9,4178.04
12680,31,9,15626.87
12683,34,5,3875.56
12689,48,1,102.03
12726,74,1,588.58
12728,41,2,705.51
12790,35,1,156.53
12866,83,1,701.07
12889,76,1,536.4
12930,51,2,450.1
13043,35,1,70.5
13082,69,1,689.9
13122,56,1,279.89
13124,34,4,445.95
13196,40,3,717.35
13199,37,1,313.99
13206,80,1,527.92
13224,87,1,289.9
13231,31,1,132.3
13238,35,10,1148.34
13240,31,11,2005.59
13241,33,4,275.27
13262,37,5,220.65
13281,41,2,364.34
13311,45,3,320.87
13314,60,1,89.8
13450,84,1,359.64
13464,41,4,7566.31
13494,44,1,15.9
13525,88,2,82.25
13529,32,2,870.8
13534,37,3,721
13538,33,3,370.99
13544,35,1,54.1
13583,37,3,1182.29
13584,68,2,915.28
13595,67,1,1234.00
13613,69,2,96.81
13616,30,3,334.55
13654,31,5,1058.26
13657,44,1,48.05
13663,36,11,721.73
13667,53,2,2824.10
13697,61,4,7890.86
13712,75,1,522.36
13720,45,3,551.07
13724,63,1,183.07
13739,31,8,1124.41
13747,46,1,4005.00
13776,30,4,713.6
13786,40,2,1273.63
13790,73,1,378.08
13794,40,3,414.73
13800,33,1,138
13812,37,1,467.47
13840,35,8,1442.95
13844,32,2,495.2
13846,38,2,1314.60
13864,48,2,219.9
13890,34,3,781.95
13907,73,1,5.8
13913,69,1,161.3
13936,44,2,193.61
13979,31,3,679.76
14001,44,2,96.4
14015,35,8,1140.81
14016,32,6,1499.35
14045,37,1,70.5
14051,41,1,279.8
14103,45,1,68.9
14157,40,3,702.23
14161,76,1,424
14166,35,7,33969.22
14183,31,1,162.9
14226,34,2,2193.12
14242,44,6,1335.46
14244,33,1,530.33
14262,55,2,362.85
14272,40,2,721.1
14273,56,1,131.8
14284,34,14,2296.79
14293,90,1,112.68
14362,30,19,309.75
14392,69,3,139.7
14402,55,3,219.7
14422,33,1,468.08
14457,39,1,197.92
14524,44,1,118.93
14525,54,1,51.67
14527,31,1,326.84
14532,46,6,409.36
14548,67,1,438.9
14578,45,7,297.55
14579,39,1,250
14585,30,10,823.93
14601,38,8,44737.93
14639,46,3,1600.52
14661,58,2,735
14665,51,1,771.21
14667,30,11,1934.09
14671,59,1,148.87
14672,32,12,47455.44
14675,40,1,24.1
14676,53,1,67.58
14727,86,1,985
14733,58,1,132.9
14745,40,3,658.53
14777,37,1,435.23
14850,41,1,36.9
14862,31,3,164.76
14874,35,1,176.25
14920,40,2,447.14
14922,40,1,176.25
14929,77,1,84.9
14934,70,1,173.44
14983,38,2,205.36
14991,56,2,360.56
14999,32,10,4125.35
15004,34,1,147.15
15012,40,4,148.4
15018,32,4,509.27
15089,40,4,2140.76
15119,44,2,476.95
15120,34,1,200
15130,30,11,577.24
15141,40,1,129.85
15168,51,4,616.23
15186,41,1,653.04
15217,35,2,150.64
15218,31,1,12.09
15286,31,2,455.44
15312,30,2,241.13
15339,78,1,73.98
15340,38,2,1314.44
15351,45,4,147.12
15395,70,1,149.9
15401,37,2,263.54
15404,77,2,120.6
15405,84,1,56.16
15409,35,2,355.87
15436,58,1,62.9
15438,58,1,479.9
15474,34,6,1373.97
15504,45,3,564.97
15517,37,7,17346.34
15547,41,2,11961.30
15552,79,1,679.9
15560,35,2,420.61
15562,31,8,29913.26
15644,31,17,763.46
15658,32,1,137.45
15716,74,2,11694.50
15733,70,1,55.9
15739,75,1,2030.00
15818,41,1,139.9
15830,65,1,114.9
15832,90,1,79.49
15836,73,1,211.22
15837,55,1,16.69
15850,31,8,1418.54
15883,37,2,4343.58
15939,40,2,159.5
15961,37,1,116.34
15972,44,4,7675.07
16083,41,3,382.28
16086,80,1,279.9
16095,45,2,245.8
16172,60,1,48.26
16176,37,3,4059.02
